,ID,area_type,availability,location,size,society,total_sqft,bath,balcony,price,coordinates,latitude,longitude
4393,4393,Super built-up  Area,19-Jul,Yemlur,2 BHK,,1355,2.0,1.0,95.0,"12.9446164, 77.6836756",12.9446164,77.6836756
4394,4394,Super built-up  Area,Ready To Move,Avalahalli,1 BHK,ZeodsWo,833,1.0,1.0,49.0,"12.9456895, 77.54402879999999",12.9456895,77.54402879999999
4395,4395,Built-up  Area,Ready To Move,Bapuji Layout,8 Bedroom,,1200,8.0,,275.0,"12.9641789, 77.52844209999999",12.9641789,77.52844209999999
4396,4396,Plot  Area,Ready To Move,Cambridge Layout,5 Bedroom,,1750,5.0,1.0,450.0,"12.9725546, 77.6253315",12.9725546,77.6253315
4397,4397,Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,48.0,"13.0084887, 77.6737028",13.0084887,77.6737028
4398,4398,Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,669,1.0,1.0,36.85,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
4399,4399,Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,2200,4.0,2.0,105.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
4400,4400,Super built-up  Area,18-May,Koramangala,3 BHK,SRidsrc,1594,3.0,,125.0,"12.9352403, 77.624532",12.9352403,77.624532
4401,4401,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1790,3.0,2.0,105.0,"13.0551932, 77.6422206",13.0551932,77.6422206
4402,4402,Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2.0,1.0,45.0,"12.9106725, 77.62354130000001",12.9106725,77.62354130000001
4403,4403,Plot  Area,Ready To Move,Doddanekundi,4 Bedroom,,3250,5.0,1.0,850.0,"12.9720888, 77.694364",12.9720888,77.694364
4404,4404,Super built-up  Area,Ready To Move,Vasantapura main road,2 BHK,,1037,2.0,1.0,36.28,"12.8812561, 77.5647635",12.8812561,77.5647635
4405,4405,Super built-up  Area,Ready To Move,Whitefield,3 BHK,SearkHy,1345,2.0,2.0,57.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4406,4406,Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,,1070,2.0,3.0,43.0,"12.8953449, 77.61503689999999",12.8953449,77.61503689999999
4407,4407,Super built-up  Area,Ready To Move,Sector 6 HSR Layout,4 BHK,,3000,5.0,,270.0,"12.9137705, 77.6292697",12.9137705,77.6292697
4408,4408,Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1385,2.0,2.0,76.18,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
4409,4409,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Niacesa,1207,2.0,2.0,79.9,"12.8630149, 77.5312772",12.8630149,77.5312772
4410,4410,Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1140,2.0,3.0,55.5,"12.9388787, 77.7412047",12.9388787,77.7412047
4411,4411,Built-up  Area,Ready To Move,Basavanapura,2 BHK,Papusa ,1220,2.0,2.0,68.0,"13.013146, 77.71301509999999",13.013146,77.71301509999999
4412,4412,Plot  Area,Ready To Move,CQAL Layout,4 Bedroom,,3811,3.0,2.0,475.0,"13.0631302, 77.583126",13.0631302,77.583126
4413,4413,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596,5.0,0.0,252.0,"12.9230803, 77.6630559",12.9230803,77.6630559
4414,4414,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Contsci,1965,3.0,3.0,120.0,"12.910911, 77.6844166",12.910911,77.6844166
4415,4415,Built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1760,2.0,0.0,115.0,"12.9352403, 77.624532",12.9352403,77.624532
4416,4416,Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,70.0,"12.9041501, 77.6622042",12.9041501,77.6622042
4417,4417,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1075,2.0,2.0,52.43,"12.956924, 77.701127",12.956924,77.701127
4418,4418,Built-up  Area,Ready To Move,Panathur,2 BHK,,1000,2.0,1.0,68.0,"12.9355734, 77.7057495",12.9355734,77.7057495
4419,4419,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3.0,1.0,109.0,"13.0381291, 77.6480793",13.0381291,77.6480793
4420,4420,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322,2.0,2.0,86.0,"13.1154662, 77.6069977",13.1154662,77.6069977
4421,4421,Plot  Area,Ready To Move,Mathikere,3 Bedroom,,1095,3.0,0.0,215.0,"13.0334194, 77.56397609999999",13.0334194,77.56397609999999
4422,4422,Built-up  Area,Ready To Move,Bellandur,4 Bedroom,Vaodssh,3600,4.0,0.0,260.0,"12.9304278, 77.678404",12.9304278,77.678404
4423,4423,Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Foncync,1045,2.0,1.0,36.58,"12.9629354, 77.7122996",12.9629354,77.7122996
4424,4424,Super built-up  Area,Ready To Move,Venugopal Reddy Layout,3 BHK,Patust ,1545,3.0,3.0,85.0,"12.8862464, 77.5999083",12.8862464,77.5999083
4425,4425,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,1996,3.0,2.0,135.0,"13.0559193, 77.6324513",13.0559193,77.6324513
4426,4426,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Gotaten,1125,2.0,2.0,70.0,"12.9655152, 77.7184444",12.9655152,77.7184444
4427,4427,Super built-up  Area,18-Apr,Mysore Road,3 BHK,PrntaEn,1560,3.0,1.0,115.0,"12.910397, 77.484109",12.910397,77.484109
4428,4428,Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,2000,2.0,2.0,85.0,"12.959641, 77.717308",12.959641,77.717308
4429,4429,Built-up  Area,Ready To Move,Murugeshpalya,4 BHK,IBaveen,3100,4.0,2.0,310.0,"12.9562593, 77.6534629",12.9562593,77.6534629
4430,4430,Built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2.0,1.0,35.0,"12.8997743, 77.6170964",12.8997743,77.6170964
4431,4431,Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1350,2.0,1.0,110.0,"12.9795581, 77.6314178",12.9795581,77.6314178
4432,4432,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,180.0,"12.910911, 77.6844166",12.910911,77.6844166
4433,4433,Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,DStra S,1350,2.0,2.0,41.0,"12.8656487, 77.656476",12.8656487,77.656476
4434,4434,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,3.0,56.0,"12.9041501, 77.6622042",12.9041501,77.6622042
4435,4435,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,64.5,"12.8630149, 77.5312772",12.8630149,77.5312772
4436,4436,Super built-up  Area,Ready To Move,Dasanapura,1 BHK,Tavenew,708,1.0,0.0,28.32,"13.0700786, 77.4291142",13.0700786,77.4291142
4437,4437,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680,3.0,1.0,160.0,"12.910911, 77.6844166",12.910911,77.6844166
4438,4438,Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400,2.0,1.0,82.0,"12.9895552, 77.71265710000002",12.9895552,77.71265710000002
4439,4439,Super built-up  Area,Ready To Move,Bellandur,2 BHK,GoncyRe,1310,2.0,2.0,72.0,"12.9304278, 77.678404",12.9304278,77.678404
4440,4440,Built-up  Area,Ready To Move,BTM Layout,6 Bedroom,,3300,6.0,3.0,165.0,"12.9165757, 77.6101163",12.9165757,77.6101163
4441,4441,Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,Shitt S,1175,2.0,1.0,57.0,"12.8443486, 77.655912",12.8443486,77.655912
4442,4442,Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,V2avei ,1428,2.0,1.0,80.0,"12.9120815, 77.5462476",12.9120815,77.5462476
4443,4443,Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,,750,4.0,2.0,62.0,"13.017294, 77.6815285",13.017294,77.6815285
4444,4444,Super built-up  Area,Ready To Move,Whitefield,4 BHK,,3252,4.0,3.0,280.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4445,4445,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,46.0,"12.9041501, 77.6622042",12.9041501,77.6622042
4446,4446,Plot  Area,Ready To Move,Old Town,8 Bedroom,,750,8.0,,200.0,"14.3199235, 76.6549883",14.3199235,76.6549883
4447,4447,Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,,1080,2.0,2.0,35.0,"12.8741077, 77.57917290000002",12.8741077,77.57917290000002
4448,4448,Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,1200,2.0,1.0,68.0,"12.8902208, 77.6092188",12.8902208,77.6092188
4449,4449,Plot  Area,17-Dec,Whitefield,2 Bedroom,,1200,2.0,1.0,45.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4450,4450,Plot  Area,Ready To Move,Okalipura,5 Bedroom,,1200,4.0,3.0,120.0,"12.9834507, 77.5655242",12.9834507,77.5655242
4451,4451,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1320,2.0,1.0,38.13,"12.8159214, 77.6793813",12.8159214,77.6793813
4452,4452,Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,DNncasa,1842,3.0,2.0,115.0,"12.9628669, 77.57750899999999",12.9628669,77.57750899999999
4453,4453,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,NDpalSe,1146,2.0,3.0,55.0,"12.908942, 77.6464534",12.908942,77.6464534
4454,4454,Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,440,1.0,1.0,28.0,"13.0615195, 77.6163803",13.0615195,77.6163803
4455,4455,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,KPhtsei,1048,2.0,3.0,50.0,"13.0623425, 77.5871032",13.0623425,77.5871032
4456,4456,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1801,3.0,1.0,115.0,"13.0559193, 77.6324513",13.0559193,77.6324513
4457,4457,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,69.61,"13.0381291, 77.6480793",13.0381291,77.6480793
4458,4458,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Viisear,1150,2.0,2.0,90.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4459,4459,Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868,3.0,1.0,120.0,"12.8690867, 77.53415799999999",12.8690867,77.53415799999999
4460,4460,Super built-up  Area,18-Apr,Begur,3 BHK,Arera V,1445,2.0,2.0,47.1,"12.8787673, 77.6376676",12.8787673,77.6376676
4461,4461,Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1466,2.0,3.0,140.0,"13.0529125, 77.60148590000001",13.0529125,77.60148590000001
4462,4462,Built-up  Area,Ready To Move,Harlur,3 BHK,,1730,3.0,2.0,100.0,"12.8991793, 77.6669909",12.8991793,77.6669909
4463,4463,Super built-up  Area,18-Dec,JP Nagar,3 BHK,Pehtsa ,3860,3.0,2.0,402.0,"12.9063433, 77.5856825",12.9063433,77.5856825
4464,4464,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1185,2.0,3.0,70.0,"12.8985899, 77.6514648",12.8985899,77.6514648
4465,4465,Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,,3027,4.0,3.0,260.0,"13.0250302, 77.53402419999999",13.0250302,77.53402419999999
4466,4466,Built-up  Area,20-Dec,Whitefield,4 BHK,,2400,4.0,3.0,147.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4467,4467,Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,1185,2.0,1.0,49.0,"13.0236542, 77.60804569999999",13.0236542,77.60804569999999
4468,4468,Super built-up  Area,18-Aug,Hongasandra,2 BHK,,1150,2.0,2.0,49.0,"12.8933622, 77.6258081",12.8933622,77.6258081
4469,4469,Plot  Area,Ready To Move,Maruthi Extension,5 Bedroom,,2000,4.0,2.0,180.0,"12.9982485, 77.562241",12.9982485,77.562241
4470,4470,Plot  Area,Ready To Move,Vidyapeeta,6 Bedroom,,875,3.0,1.0,98.0,"12.9334382, 77.56086719999999",12.9334382,77.56086719999999
4471,4471,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1075,2.0,2.0,35.0,"12.9943266, 77.66681799999999",12.9943266,77.66681799999999
4472,4472,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,3.0,2.0,123.0,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
4473,4473,Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1600,2.0,1.0,63.98,"12.9254533, 77.546757",12.9254533,77.546757
4474,4474,Plot  Area,Ready To Move,Madiwala,4 Bedroom,,910,4.0,1.0,140.0,"12.9226373, 77.6174442",12.9226373,77.6174442
4475,4475,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,1000,2.0,1.0,78.0,"12.9041501, 77.6622042",12.9041501,77.6622042
4476,4476,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1215,2.0,2.0,90.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
4477,4477,Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,Ste 2al,1734,3.0,3.0,125.0,"12.9743773, 77.7151616",12.9743773,77.7151616
4478,4478,Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2.0,1.0,60.0,"13.017294, 77.6815285",13.017294,77.6815285
4479,4479,Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Paentta,1113,2.0,1.0,55.0,"13.0615195, 77.6163803",13.0615195,77.6163803
4480,4480,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2.0,2.0,48.0,"13.0103761, 77.6481944",13.0103761,77.6481944
4481,4481,Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,Jaood G,1240,3.0,2.0,41.0,"13.080612, 77.5146453",13.080612,77.5146453
4482,4482,Built-up  Area,Ready To Move,Varthur,8 Bedroom,,704,8.0,3.0,92.0,"12.9388787, 77.7412047",12.9388787,77.7412047
4483,4483,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1100,2.0,1.0,70.0,"13.1154662, 77.6069977",13.1154662,77.6069977
4484,4484,Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,896,2.0,1.0,30.13,"12.9150108, 77.6700766",12.9150108,77.6700766
4485,4485,Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,,3657,5.0,,220.0,"13.0615195, 77.6163803",13.0615195,77.6163803
4486,4486,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Fea 3Al,1200,2.0,0.0,35.0,"12.9083215, 77.6050777",12.9083215,77.6050777
4487,4487,Built-up  Area,Ready To Move,Ramagondanahalli,4 BHK,,2800,4.0,3.0,155.0,"12.9558171, 77.7409162",12.9558171,77.7409162
4488,4488,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4.0,3.0,198.0,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
4489,4489,Built-up  Area,Ready To Move,Ambalipura,3 BHK,AltesEs,3500,3.0,,198.0,"12.9150108, 77.6700766",12.9150108,77.6700766
4490,4490,Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,3600,3.0,2.0,150.0,"13.0084887, 77.6737028",13.0084887,77.6737028
4491,4491,Built-up  Area,Ready To Move,Sarjapur,2 BHK,Srncya ,1500,2.0,2.0,30.0,"12.8575579, 77.7864057",12.8575579,77.7864057
4492,4492,Plot  Area,Ready To Move,Meenakshi Layout,8 Bedroom,,1200,7.0,0.0,220.0,"12.8841469, 77.6743712",12.8841469,77.6743712
4493,4493,Super built-up  Area,Ready To Move,S R Layout,2 BHK,Seasare,1096,2.0,2.0,48.0,"12.9546824, 77.65039089999999",12.9546824,77.65039089999999
4494,4494,Built-up  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,,580,2.0,0.0,95.0,"13.0358453, 77.5970433",13.0358453,77.5970433
4495,4495,Super built-up  Area,Ready To Move,GD Layout,2 BHK,,1094,2.0,1.0,44.0,"13.0716753, 77.56337479999999",13.0716753,77.56337479999999
4496,4496,Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,,1100,2.0,2.0,49.0,"12.9024018, 77.55406049999999",12.9024018,77.55406049999999
4497,4497,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,DNionfl,2725 - 3250,5.0,0.0,191.0,"12.9230803, 77.6630559",12.9230803,77.6630559
4498,4498,Super built-up  Area,19-Sep,Koramangala,4 BHK,Prood P,2503,6.0,2.0,325.0,"12.9352403, 77.624532",12.9352403,77.624532
4499,4499,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,,1145,2.0,2.0,40.0,"12.9719321, 77.512749",12.9719321,77.512749
4500,4500,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,2.0,74.5,"13.0615195, 77.6163803",13.0615195,77.6163803
4501,4501,Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Paoliy ,1830,4.0,2.0,82.0,"13.0169197, 77.7180235",13.0169197,77.7180235
4502,4502,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1746,3.0,3.0,84.95,"12.9895552, 77.71265710000002",12.9895552,77.71265710000002
4503,4503,Built-up  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,,1280,4.0,1.0,115.0,"13.0013782, 77.6298047",13.0013782,77.6298047
4504,4504,Super built-up  Area,20-Aug,Kengeri,2 BHK,,918,2.0,1.0,27.54,"12.8996676, 77.4826837",12.8996676,77.4826837
4505,4505,Super built-up  Area,18-Jul,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,"12.8017099, 77.7116112",12.8017099,77.7116112
4506,4506,Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,Pridsi ,1305,2.0,1.0,60.0,"12.9345271, 77.54352150000001",12.9345271,77.54352150000001
4507,4507,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,SLavena,1207,2.0,2.0,62.0,"12.9918835, 77.7266088",12.9918835,77.7266088
4508,4508,Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1678,3.0,2.0,125.0,"13.0559193, 77.6324513",13.0559193,77.6324513
4509,4509,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2.0,1.0,50.0,"12.8019332, 77.50957840000001",12.8019332,77.50957840000001
4510,4510,Plot  Area,Ready To Move,Munnekollal,10 Bedroom,,1200,7.0,,240.0,"12.9530189, 77.7088108",12.9530189,77.7088108
4511,4511,Super built-up  Area,18-Feb,Electronic City,2 BHK,GMown E,1070,2.0,1.0,55.0,"12.8452145, 77.6601695",12.8452145,77.6601695
4512,4512,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1732.46,3.0,2.0,92.0,"13.027451, 77.7609435",13.027451,77.7609435
4513,4513,Super built-up  Area,Ready To Move,Attibele,3 BHK,DSvar S,1639,2.0,1.0,40.98,"12.778963, 77.7702029",12.778963,77.7702029
4514,4514,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Prionad,1360,2.0,1.0,103.0,"12.956924, 77.701127",12.956924,77.701127
4515,4515,Plot  Area,Ready To Move,Malleshpalya,4 Bedroom,,2592,4.0,2.0,250.0,"12.9756762, 77.6778473",12.9756762,77.6778473
4516,4516,Plot  Area,Ready To Move,RMV 2nd Stage,3 Bedroom,,4470,3.0,,700.0,"13.0422174, 77.5700444",13.0422174,77.5700444
4517,4517,Plot  Area,Ready To Move,Kithaganur,5 Bedroom,,720,4.0,3.0,62.0,"13.0371818, 77.71301509999999",13.0371818,77.71301509999999
4518,4518,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1656,3.0,2.0,150.0,"12.9578047, 77.7130364",12.9578047,77.7130364
4519,4519,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Asira E,985,2.0,1.0,49.0,"12.910911, 77.6844166",12.910911,77.6844166
4520,4520,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1999,3.0,2.0,135.0,"12.9720888, 77.694364",12.9720888,77.694364
4521,4521,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050,2.0,1.0,75.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
4522,4522,Super built-up  Area,Ready To Move,Whitefield,3 BHK,,1440,2.0,2.0,64.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4523,4523,Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Swers T,1600,2.0,2.0,160.0,"12.9405997, 77.5737633",12.9405997,77.5737633
4524,4524,Super built-up  Area,17-Nov,Ramagondanahalli,2 BHK,ViistLa,1253,2.0,1.0,52.66,"12.9558171, 77.7409162",12.9558171,77.7409162
4525,4525,Plot  Area,Ready To Move,Shirdi Sai Nagar,3 Bedroom,,1200,3.0,0.0,85.0,"12.9485126, 77.71476779999999",12.9485126,77.71476779999999
4526,4526,Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,,1360,2.0,3.0,75.0,"12.9155691, 77.5567733",12.9155691,77.5567733
4527,4527,Super built-up  Area,Ready To Move,Hagadur,2 BHK,,1086,2.0,1.0,47.5,"12.9661204, 77.7570099",12.9661204,77.7570099
4528,4528,Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,Gonoril,1655,3.0,2.0,155.0,"12.9481933, 77.59718649999999",12.9481933,77.59718649999999
4529,4529,Plot  Area,17-Feb,Old Madras Road,4 Bedroom,,2600,4.0,,260.0,"13.0213534, 77.7115687",13.0213534,77.7115687
4530,4530,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1418,2.0,2.0,78.0,"12.910911, 77.6844166",12.910911,77.6844166
4531,4531,Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,PuamaPa,1270,2.0,2.0,100.0,"12.8710738, 77.5934927",12.8710738,77.5934927
4532,4532,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,52.17,"12.8889855, 77.6256714",12.8889855,77.6256714
4533,4533,Super built-up  Area,19-Jan,"JP Nagar 7th Phase, ",2 BHK,,1150,2.0,1.0,74.0,"12.8978624, 77.58450839999999",12.8978624,77.58450839999999
4534,4534,Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,600,3.0,2.0,45.0,"13.0084887, 77.6737028",13.0084887,77.6737028
4535,4535,Built-up  Area,Ready To Move,Raghuvanahalli,3 BHK,,1440,3.0,2.0,65.8,"12.8778551, 77.54259569999999",12.8778551,77.54259569999999
4536,4536,Plot  Area,Ready To Move,J C Nagar,3 Bedroom,,1200,2.0,0.0,108.0,"13.0081816, 77.5948946",13.0081816,77.5948946
4537,4537,Super built-up  Area,Ready To Move,Sadduguntepalya,2 BHK,Jaanaa ,1200,2.0,2.0,75.0,"12.9306938, 77.60771749999999",12.9306938,77.60771749999999
4538,4538,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,50.06,"12.8889855, 77.6256714",12.8889855,77.6256714
4539,4539,Plot  Area,Ready To Move,Chandapura,4 Bedroom,Cangse ,1200,5.0,2.0,92.0,"12.8017099, 77.7116112",12.8017099,77.7116112
4540,4540,Plot  Area,Ready To Move,Jalahalli,3 Bedroom,,600,3.0,2.0,60.0,"13.0454314, 77.5478699",13.0454314,77.5478699
4541,4541,Built-up  Area,18-Dec,Whitefield,1 BHK,,624,1.0,1.0,35.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4542,4542,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,1060,2.0,1.0,58.0,"12.8452145, 77.6601695",12.8452145,77.6601695
4543,4543,Super built-up  Area,20-Dec,Hebbal,4 BHK,Cehosy ,3960,5.0,3.0,386.0,"13.0353557, 77.59878739999999",13.0353557,77.59878739999999
4544,4544,Plot  Area,18-Aug,Whitefield,2 Bedroom,,1200,2.0,1.0,45.0,"12.9698196, 77.7499721",12.9698196,77.7499721
4545,4545,Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,,1200,4.0,2.0,175.0,"13.0810718, 77.55616669999999",13.0810718,77.55616669999999
4546,4546,Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1917,3.0,0.0,60.0,"12.8575579, 77.7864057",12.8575579,77.7864057
4547,4547,Super built-up  Area,Ready To Move,KR Puram,2 BHK,HovasTe,950,2.0,1.0,40.0,"13.0169992, 77.7044335",13.0169992,77.7044335
4548,4548,Plot  Area,18-Dec,Channasandra,2 Bedroom,,3040,2.0,1.0,48.0,"12.979699, 77.761624",12.979699,77.761624
4549,4549,Super built-up  Area,18-May,BTM 2nd Stage,3 BHK,,1250,3.0,1.0,50.0,"12.9083215, 77.6050777",12.9083215,77.6050777
4550,4550,Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Sanumn ,1235,2.0,2.0,60.0,"12.8820179, 77.62476079999999",12.8820179,77.62476079999999
4551,4551,Super built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,722,1.0,0.0,46.0,"13.1342839, 77.74663869999999",13.1342839,77.74663869999999
4552,4552,Plot  Area,Ready To Move,Kanakpura Road,4 Bedroom,ColeyNa,2775,3.0,1.0,165.0,"12.8630149, 77.5312772",12.8630149,77.5312772
4553,4553,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1200,2.0,1.0,93.0,"12.910911, 77.6844166",12.910911,77.6844166
4554,4554,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1400,3.0,,68.0,"12.8741876, 77.5946855",12.8741876,77.5946855
4555,4555,Built-up  Area,Ready To Move,Mallathahalli,3 BHK,Viers S,1225,3.0,3.0,60.0,"12.9619761, 77.49796529999999",12.9619761,77.49796529999999
4556,4556,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,58.5,"12.956924, 77.701127",12.956924,77.701127
4557,4557,Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,PuonsSe,705,1.0,1.0,52.5,"12.9890119, 77.6664976",12.9890119,77.6664976
4558,4558,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1880,3.0,2.0,94.36,"13.0244644, 77.7072675",13.0244644,77.7072675
4559,4559,Plot  Area,Ready To Move,Yelahanka,2 Bedroom,,1200,2.0,1.0,70.0,"13.1154662, 77.6069977",13.1154662,77.6069977
4560,4560,Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,SrarkSk,1550,2.0,1.0,60.0,"12.8496672, 77.5999347",12.8496672,77.5999347
4561,4561,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3.0,1.0,130.0,"12.8743581, 77.513787",12.8743581,77.513787
4562,4562,Super built-up  Area,Ready To Move,HMT Layout,3 BHK,LoentKr,1650,3.0,2.0,75.0,"13.0310769, 77.5569265",13.0310769,77.5569265
4563,4563,Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,Srvasi ,1113,2.0,2.0,46.0,"12.8593132, 77.6462198",12.8593132,77.6462198
4564,4564,Plot  Area,Ready To Move,BEL Road,2 Bedroom,,1500,2.0,0.0,203.0,"13.0516025, 77.5521164",13.0516025,77.5521164
